Date,Name,Year,Letterboxd URI
2023-07-05,"Synecdoche, New York",2008,https://boxd.it/23zw
2023-07-05,Being John Malkovich,1999,https://boxd.it/2ahu
2023-07-05,Human Nature,2001,https://boxd.it/2ani
2023-07-05,Adaptation.,2002,https://boxd.it/26mA
2023-07-05,Confessions of a Dangerous Mind,2002,https://boxd.it/23Gi
2023-07-05,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2023-07-05,Anomalisa,2015,https://boxd.it/97TE
2023-07-05,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2023-07-05,Brazil,1985,https://boxd.it/2be2
2023-07-05,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA
2023-07-05,The Worst Person in the World,2021,https://boxd.it/oyws
2023-07-05,Breathless,1960,https://boxd.it/2aIK
2023-07-05,Weekend,1967,https://boxd.it/20Ac
2023-07-05,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM
2023-07-05,The Whale,2022,https://boxd.it/tw4c
2023-07-05,Rashomon,1950,https://boxd.it/2a9K
2023-07-05,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2023-07-05,TÁR,2022,https://boxd.it/uNIA
2023-07-05,Koyaanisqatsi,1982,https://boxd.it/1U9E
2023-07-05,Stalker,1979,https://boxd.it/28PO
2023-07-05,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2023-07-05,964 Pinocchio,1991,https://boxd.it/EhA
2023-07-05,A Long Walk,2006,https://boxd.it/8gR6
2023-07-05,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2023-07-05,The Elephant Man,1980,https://boxd.it/27LQ
2023-07-05,Blade Runner 2049,2017,https://boxd.it/b8wK
2023-07-05,Taxi Driver,1976,https://boxd.it/2b8y
2023-07-05,Spring Breakers,2012,https://boxd.it/421s
2023-07-05,Battle Royale,2000,https://boxd.it/25zS
2023-07-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-07-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2023-07-05,Parasite,2019,https://boxd.it/hTha
2023-07-05,Aftersun,2022,https://boxd.it/Arw0
2023-07-05,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q
2023-07-05,Oldboy,2003,https://boxd.it/29R2
2023-07-05,Come and See,1985,https://boxd.it/1w9q
2023-07-05,12 Angry Men,1957,https://boxd.it/2auI
2023-07-05,The Shawshank Redemption,1994,https://boxd.it/2aHi
2023-07-05,A Woman Under the Influence,1974,https://boxd.it/1myg
2023-07-05,8½,1963,https://boxd.it/2aqm
2023-07-05,Chinatown,1974,https://boxd.it/29vU
2023-07-05,2046,2004,https://boxd.it/29tu
2023-07-17,45 Years,2015,https://boxd.it/9ZPG
2023-07-17,Sicario,2015,https://boxd.it/8i7u
2023-07-17,The Paper Tigers,2020,https://boxd.it/rr9W
2023-07-17,0cm⁴,2001,https://boxd.it/bcg2
2023-08-02,Gerorisuto,1986,https://boxd.it/4LAW
2023-08-02,Scourge of Blood,1984,https://boxd.it/dMQO
2023-08-07,Rubber's Lover,1996,https://boxd.it/J4G
2023-08-11,A Man,2022,https://boxd.it/wOeU
2023-08-11,Drive My Car,2021,https://boxd.it/sv94
2023-08-30,The Flying Sailor,2022,https://boxd.it/rSdw
2023-09-17,Upon Open Sky,2023,https://boxd.it/HJtW
2023-09-23,The Pornographers,1966,https://boxd.it/Wco
2023-10-06,Under the Silver Lake,2018,https://boxd.it/dSAs
2023-10-08,Mysterious Object at Noon,2000,https://boxd.it/3gqu
2023-10-09,Days,2020,https://boxd.it/oEE8
2023-10-14,Tropical Malady,2004,https://boxd.it/1TCA
2023-10-16,Blue,2018,https://boxd.it/jVO0
2023-10-16,Blissfully Yours,2002,https://boxd.it/LFu
2023-10-17,Penis,1965,https://boxd.it/obQE
2023-10-21,Syndromes and a Century,2006,https://boxd.it/1qHQ
2023-10-23,Mekong Hotel,2012,https://boxd.it/3Igs
2023-10-27,Cemetery of Splendor,2015,https://boxd.it/9tIo
2023-10-28,Your Name.,2016,https://boxd.it/cUqs
2023-11-01,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8
2023-11-01,Shazam!,2019,https://boxd.it/8WBu
2023-11-01,Avengers: Infinity War,2018,https://boxd.it/9vEe
2023-11-01,Avengers: Endgame,2019,https://boxd.it/9vE4
2023-11-02,Memoria,2021,https://boxd.it/iwtE
2023-11-18,Memories of Murder,2003,https://boxd.it/1TSo
2023-11-20,Ashes,2012,https://boxd.it/3MT4
2023-11-26,La La Land,2016,https://boxd.it/a5fa
2023-11-28,Mobile Men,2008,https://boxd.it/5Dra
2023-11-28,The Anthem,2006,https://boxd.it/7aZ2
2023-12-05,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2023-12-05,Glass Onion,2022,https://boxd.it/oCkK
2023-12-11,"I, Daniel Blake",2016,https://boxd.it/d0xa
2023-12-19,An Elephant Sitting Still,2018,https://boxd.it/i1EQ
2023-12-28,Inside the Yellow Cocoon Shell,2023,https://boxd.it/Gama
2024-01-16,Isle of Dogs,2018,https://boxd.it/dZrW
2024-01-31,Forrest Gump,1994,https://boxd.it/728
2024-02-13,Peppermint Candy,1999,https://boxd.it/ZQc
2024-02-20,Full Metal Jacket,1987,https://boxd.it/2a1Q
2024-04-03,Fight Club,1999,https://boxd.it/2a9q
2024-04-29,No Country for Old Men,2007,https://boxd.it/21ew
2024-05-05,Antiporno,2016,https://boxd.it/eDjy
2024-05-13,Phantom Thread,2017,https://boxd.it/e4uc
2024-05-20,Perfect Blue,1997,https://boxd.it/1W7A
2024-06-09,Baraka,1992,https://boxd.it/1OWA
2024-06-10,The Big Lebowski,1998,https://boxd.it/2b6C
2024-06-14,Another Round,2020,https://boxd.it/lkba
2024-06-19,The Menu,2022,https://boxd.it/lScm
2024-06-19,Ready Player One,2018,https://boxd.it/aZes
2024-06-20,Wonder,2017,https://boxd.it/ekeY
2024-06-20,Aquaman,2018,https://boxd.it/9ru0
2024-06-20,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2024-06-26,Burning,2018,https://boxd.it/hHUa
2024-06-27,Battle Royale II: Requiem,2003,https://boxd.it/25zI
2024-07-03,Decision to Leave,2022,https://boxd.it/qp9e
2024-07-03,Megamind,2010,https://boxd.it/16Sk
2024-07-04,Samurai Cop,1991,https://boxd.it/3Na
2024-07-04,Samurai Cop 2: Deadly Vengeance,2015,https://boxd.it/8NIw
2024-07-06,Belle,2021,https://boxd.it/tbEe
2024-07-06,Spirited Away,2001,https://boxd.it/2b4m
2024-07-06,How to Train Your Dragon,2010,https://boxd.it/1WRy
2024-07-06,Frozen,2013,https://boxd.it/3GNa
2024-07-06,Tangled,2010,https://boxd.it/15gO
2024-07-06,Big Hero 6,2014,https://boxd.it/5rje
2024-07-06,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0
2024-07-06,Kubo and the Two Strings,2016,https://boxd.it/a4wE
2024-07-06,The Emoji Movie,2017,https://boxd.it/d9x4
2024-07-08,Erin Brockovich,2000,https://boxd.it/2al2
2024-07-08,Tucker: The Man and His Dream,1988,https://boxd.it/1q4u
2024-07-08,Pleasantville,1998,https://boxd.it/26uY
2024-07-09,Inherent Vice,2014,https://boxd.it/5hla
2024-07-09,Oppenheimer,2023,https://boxd.it/wUow
2024-07-11,There Will Be Blood,2007,https://boxd.it/20Z2
2024-07-13,Mortal Kombat Legends: Scorpion's Revenge,2020,https://boxd.it/oJGS
2024-07-13,Mortal Kombat Legends: Battle of the Realms,2021,https://boxd.it/vKLo
2024-07-13,Mortal Kombat,2021,https://boxd.it/gswA
2024-07-13,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG
2024-07-16,Paddington 2,2017,https://boxd.it/bCF8
2024-07-16,Paddington,2014,https://boxd.it/3RKw
2024-07-24,Death of a Salesman,1985,https://boxd.it/1Rzu
2024-07-30,Sleep,2023,https://boxd.it/Aqmo
2024-08-01,The Eccentrics,1974,https://boxd.it/cT6c
2024-08-07,My Year of Dicks,2022,https://boxd.it/AF9k
2024-08-07,Deadpool 2,2018,https://boxd.it/dlLM
2024-08-07,Deadpool,2016,https://boxd.it/9fOC
2024-08-07,Free Guy,2021,https://boxd.it/k8dm
2024-08-07,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2024-08-07,Captain America: Civil War,2016,https://boxd.it/89Ja
2024-08-07,Kung Fu Hustle,2004,https://boxd.it/1YBi
2024-08-07,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2024-08-07,The Suicide Squad,2021,https://boxd.it/fw6O
2024-08-07,Space Jam,1996,https://boxd.it/26YO
2024-08-08,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-08-08,Seagrass,2023,https://boxd.it/GFj2
2024-08-08,The Corridor,,https://boxd.it/Ml94
2024-08-08,Kung Fu Panda 4,2024,https://boxd.it/CepE
2024-08-15,Pulp Fiction,1994,https://boxd.it/29Pq
2024-08-15,Shoplifters,2018,https://boxd.it/ifY6
2024-08-17,The Florida Project,2017,https://boxd.it/dMG0
2024-08-19,Requiem for a Dream,2000,https://boxd.it/29VI
2024-08-22,Electric Dragon 80000V,2001,https://boxd.it/1sew
2024-08-24,Johnny English,2003,https://boxd.it/1YyI
2024-08-24,Johnny English Reborn,2011,https://boxd.it/kQq
2024-08-24,Johnny English Strikes Again,2018,https://boxd.it/gzGW
2024-08-25,Gran Torino,2008,https://boxd.it/1Qzy
2024-08-27,Youth (Spring),2023,https://boxd.it/hMzc
2024-09-01,City of Wind,2023,https://boxd.it/rnEm
2024-09-09,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW
2024-09-14,If Only I Could Hibernate,2023,https://boxd.it/Bhzq
2024-09-16,The Paradise of Thorns,2024,https://boxd.it/NegO
2024-09-20,Daisies,1966,https://boxd.it/LZk
2024-10-01,Un Chien Andalou,1929,https://boxd.it/29Y8
2024-10-06,The Godfather,1972,https://boxd.it/2aNK
2024-10-07,Homework,1989,https://boxd.it/4Cnk
2024-10-07,Kung Fu Panda,2008,https://boxd.it/1Yws
2024-10-07,Kung Fu Panda 2,2011,https://boxd.it/G36
2024-10-07,Kung Fu Panda 3,2016,https://boxd.it/4uRQ
2024-10-13,Revolution of Our Times,2021,https://boxd.it/w72c
2024-10-13,American Beauty,1999,https://boxd.it/71Y
2024-10-14,Angels Wear White,2017,https://boxd.it/gLHi
2024-10-14,The Sales Girl,2021,https://boxd.it/zT2q
2024-10-19,Killer Bean Forever,2008,https://boxd.it/1xtG
2024-10-20,Eternal Spring,2022,https://boxd.it/zNJo
2024-10-26,Blue,1993,https://boxd.it/3iyA
2024-11-04,"Days, Months, Years and Nothing Else",2024,https://boxd.it/Lftq
2024-11-09,Hereditary,2018,https://boxd.it/hNVe
2024-11-14,The Strange Thing About the Johnsons,2011,https://boxd.it/56nO
2024-12-07,Memories of CS:GO – The Final Years,2024,https://boxd.it/RKTw
2024-12-08,The Silence of the Lambs,1991,https://boxd.it/2aHW
2024-12-10,Jackals & Fireflies,2023,https://boxd.it/F640
2024-12-13,Napoleon,2023,https://boxd.it/shJM
2024-12-15,Interstellar,2014,https://boxd.it/4VZ8
2024-12-22,Yakuza: Like a Dragon,2007,https://boxd.it/1oMY
2025-01-03,Uncut Gems,2019,https://boxd.it/gXGc
2025-01-04,Elf,2003,https://boxd.it/1VyK
2025-01-04,Jour de Fête,1949,https://boxd.it/243Q
2025-01-04,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2025-01-21,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68
2025-01-22,Game and Glory,2023,https://boxd.it/Hb1E
2025-01-25,Avatar,2009,https://boxd.it/1Efm
2025-03-14,Shot / Countershot,1987,https://boxd.it/a6J6
2025-03-14,Poetry,2010,https://boxd.it/JAs
2025-03-16,Mickey 17,2025,https://boxd.it/q1Dk
2025-03-24,The Chinese Mayor,2015,https://boxd.it/akIc
2025-04-21,Railway Sleepers,2016,https://boxd.it/fqME
2025-06-25,How to Train Your Dragon,2025,https://boxd.it/F7Je
2025-07-18,Superman,2025,https://boxd.it/E9IU
2025-08-17,The Secret of the Magic Gourd,2007,https://boxd.it/16S0
2025-08-17,Inception,2010,https://boxd.it/1skk
2025-08-18,How to Train Your Dragon 2,2014,https://boxd.it/2TRW
2025-08-18,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w
2025-08-27,The Actor,2025,https://boxd.it/u7DI
2025-09-19,Vice Is Broke,2024,https://boxd.it/ODHC
2025-09-20,An Inconvenient Truth,2006,https://boxd.it/289y
2025-09-20,Spectre,2015,https://boxd.it/6bXY
2025-09-20,Home Alone,1990,https://boxd.it/29Fg
2025-09-20,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6
2025-09-20,Bee Movie,2007,https://boxd.it/22Vw
2025-09-23,Youth (Hard Times),2024,https://boxd.it/ObrG
2025-11-03,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
